id,Title,Year,upc
10488,American Ninja 5,1995,1256973648
70272,American Pastime,2007,8539115632
5713,"AMERICAN PIE (BD+DVD+DC,STD,WS,EXCL)",1999,2519226936
4996,American Pie (Theatrical),1999,2519505429
5740,American Pie 2 (SP),2001,2519213257
5137,American Pie 2 (Theatrical),2001,2519286232
5785,American Pie Presents: Band Camp (Rated),2005,2519274492
5783,American Pie Presents: Band Camp (Unrated),2005,2519208821
128994,American Pie Presents: Beta House (Rated),2007,2519501213
175609,American Pie Presents: Beta House (Unrated),2007,2519501212
172300,American Pie Presents: The Book of Love,2009,2519203020
175614,American Pie Presents: The Book of Love,2009,2519217297
5938,American Pie Presents: The Naked Mile (Rated),2006,2519330892
5940,American Pie Presents: The Naked Mile (Unrated),2006,2519202809
12768,American Pop,1981,1438168462
9176,"American President, The",1995,883929251155
6451,American Psycho 2,2002,5737315856
346947,American Reunion,2004,2519211407
318025,American Reunion (Theatrical),2012,2519211408
10487,American Samurai,1992,1256973649
625212,"AMERICAN SNIPER (BD+DVD+DC,SPE,WS)",2014,88392945034
5425,American Tail: The Mystery of the Night Monster,2000,2519239742
142078,American Teen,2008,9736353584
684593,"AMERICAN ULTRA (BD+DVD+DC,STD,WS)",2015,3139823179
5741,American Wedding (SP),2003,2519213256
5408,American Wedding (Unrated),2003,2519238002
178864,"American, The",2010,6593584207
10276,"Americanization of Emily, The",1964,1256959992
13827,Amistad,1997,667068466928
901427,"AMITYVILLE: THE AWAKENING (BD+DC,STD,WS)",2017,Scraping failed
179299,Among Giants,1999,24806100000000
141545,Amor Letra por Letra,2008,3139810386
181249,"Amor, Dolor y Vica Versa",2009,3139812735
401114,Amour,2012,43396417380
142091,Amusement,2008,79404312432
8060,An Affair to Remember,1957,24543751625
34803,An Almost Perfect Affair,1979,88392931197
24322,An American Rhapsody,2001,9736339444
5424,An American Tail,1986,2519222416
5427,An American Tail: Fievel Goes West,1991,25192351723
5422,An American Tail: The Treasure of Manhattan Island,1998,2519239752
47433,An Awfully Big Adventure,1995,794043785825
172414,An Education,2009,4339633176
29839,An Evening With Kevin Smith,2002,4339608976
438627,An Everlasting Piece,2000,667068782028
858246,"AN INCONVENIENT SEQUEL: TRUTH TO POWER (BD+DC,STD,WS)",2017,3242928991
65664,An Inconvenient Truth,2006,883929311323
17107,An Officer and a Gentleman,1982,883929330348
162420,An Old Fashion Thanksgiving,2008,4339631444
59631,An Unfinished Life,2005,3139817434
12398,Anaconda,1997,68390463212
140466,Anaconda 3: Offspring,2008,4339624478
44379,Anacondas: The Hunt for the Blood Orchid,2004,4339603255
144689,Anacondas: Trail of Blood,2009,4339632171
9772,Analyze That,2002,762188510923
9243,Analyze This,1999,883929155293
7709,Anastasia,1997,24543703617
8102,Anastasia,1956,24543060918
20759,Anatomy,2000,4339606278
